,Num. Days In Fluid,Fluid Ca2+ (mM),Fluid Na+ (mM),Precursor Conc. (wt. %),Crosslinker Conc. (mM),Detach. Pressure (PSI),Nozzle Diam. (mm),Nozzle Angle (deg),Dist. P to N (cm),Angle P to N (deg),Flow Rate (uL/min),Nozzle Coating,Surface Tension (mN/m),Microgel Diam. (um)
240,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,244.2224062
241,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,251.9724988
242,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,275.9564899
243,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,242.4051673
244,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,232.437159
245,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,270.1605199
246,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,245.2088252
247,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,242.2868976
248,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,283.4212172
249,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,265.6691165
